[07-18-2016 15:28:47.006] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(57) - Initializing SQLPlus version 0.1.0-SNAPSHOT
[07-18-2016 15:28:47.159] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(99) - Create SQLPlusConnection
[07-18-2016 15:28:47.159] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(395) - Connection with username, password, and host
[07-18-2016 15:28:47.159] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(109) - Creating a new SQLPlusMySQLConnection instance with username:sqlplus password:********* host:127.0.0.1
[07-18-2016 15:28:47.159] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(55) - Instantiating the credentials that will be used to connect to a mysql database
[07-18-2016 15:28:47.160] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(38) - Creating SQLPlusMySQLConnection with username:sqlplus password:********* host: 127.0.0.1 port:3306
[07-18-2016 15:28:47.160] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(42) - Will connect to a MySQL database using the credentials provided
[07-18-2016 15:28:47.160] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(77) - Adding the connection properties to connect to a mysql database
[07-18-2016 15:28:47.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(89) - Attempting to connect to the database: jdbc:mysql://127.0.0.1:3306/
[07-18-2016 15:28:47.390] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(114) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:28:47.390] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(399) - Created and returning a SQLPlusConnection SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:29:00.825] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(189) - The user wants to quit SQLPlus
[07-18-2016 15:29:00.825] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(408) - Attempting to disconnect the SQLPlusConnection
[07-18-2016 15:29:00.825] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(129) - Attempting to disconnect from the database
[07-18-2016 15:29:00.827] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(131) - Disconnected from the database
[07-18-2016 15:29:00.827] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(410) - Disconnected the SQLPlusConnection
[07-18-2016 15:29:00.827] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(413) - Reset the console from jline
[07-18-2016 15:29:00.827] [main] INFO  com.mijecu25.sqlplus.SQLPlus.resetConsole(425) - About to reset the console from jline
[07-18-2016 15:29:00.832] [main] INFO  com.mijecu25.sqlplus.SQLPlus.resetConsole(427) - Reset the console from jline
[07-18-2016 15:29:00.832] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(416) - Quitting SQLPlus
[07-18-2016 15:47:56.083] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(59) - Initializing SQLPlus version 0.1.0-SNAPSHOT
[07-18-2016 15:47:56.175] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(101) - Create SQLPlusConnection
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(399) - Connection with username, password, and host
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(109) - Creating a new SQLPlusMySQLConnection instance with username:sqlplus password:********* host:127.0.0.1
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(55) - Instantiating the credentials that will be used to connect to a mysql database
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(38) - Creating SQLPlusMySQLConnection with username:sqlplus password:********* host: 127.0.0.1 port:3306
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(42) - Will connect to a MySQL database using the credentials provided
[07-18-2016 15:47:56.176] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(77) - Adding the connection properties to connect to a mysql database
[07-18-2016 15:47:56.193] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(89) - Attempting to connect to the database: jdbc:mysql://127.0.0.1:3306/
[07-18-2016 15:47:56.387] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(114) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:47:56.387] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(403) - Created and returning a SQLPlusConnection SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:47:56.388] [main] INFO  com.mijecu25.sqlplus.compiler.alert.AlertManager.getManager(34) - Creating a new AlertManager
[07-18-2016 15:47:56.388] [main] INFO  com.mijecu25.sqlplus.compiler.alert.AlertManager.getManager(38) - Returning an AlertManager instance com.mijecu25.sqlplus.compiler.alert.AlertManager@74294adb
[07-18-2016 15:48:48.208] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(193) - The user wants to quit SQLPlus
[07-18-2016 15:48:48.208] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(412) - Attempting to disconnect the SQLPlusConnection
[07-18-2016 15:48:48.208] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(129) - Attempting to disconnect from the database
[07-18-2016 15:48:48.210] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(131) - Disconnected from the database
[07-18-2016 15:48:48.210] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(414) - Disconnected the SQLPlusConnection
[07-18-2016 15:48:48.210] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(417) - Reset the console from jline
[07-18-2016 15:48:48.210] [main] INFO  com.mijecu25.sqlplus.SQLPlus.resetConsole(429) - About to reset the console from jline
[07-18-2016 15:48:48.215] [main] INFO  com.mijecu25.sqlplus.SQLPlus.resetConsole(431) - Reset the console from jline
[07-18-2016 15:48:48.215] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(420) - Quitting SQLPlus
[07-18-2016 15:56:10.096] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(59) - Initializing SQLPlus version 0.1.0-SNAPSHOT
[07-18-2016 15:56:10.187] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(101) - Create SQLPlusConnection
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(399) - Connection with username, password, and host
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(109) - Creating a new SQLPlusMySQLConnection instance with username:sqlplus password:********* host:127.0.0.1
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(55) - Instantiating the credentials that will be used to connect to a mysql database
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(38) - Creating SQLPlusMySQLConnection with username:sqlplus password:********* host: 127.0.0.1 port:3306
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(42) - Will connect to a MySQL database using the credentials provided
[07-18-2016 15:56:10.188] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(77) - Adding the connection properties to connect to a mysql database
[07-18-2016 15:56:10.206] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(89) - Attempting to connect to the database: jdbc:mysql://127.0.0.1:3306/
[07-18-2016 15:56:10.403] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(114) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:56:10.404] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(403) - Created and returning a SQLPlusConnection SQLPlusConnection [username=sqlplus, host=127.0.0.1, database=mysql, port=3306]
[07-18-2016 15:56:10.404] [main] INFO  com.mijecu25.sqlplus.compiler.alert.AlertManager.getManager(33) - Creating a new AlertManager
[07-18-2016 15:56:10.404] [main] INFO  com.mijecu25.sqlplus.compiler.alert.AlertManager.getManager(37) - Returning an AlertManager instance com.mijecu25.sqlplus.compiler.alert.AlertManager@74294adb
[07-18-2016 15:56:11.180] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(211) - Raw input from the user: alert before insert in cards where name = 'blue';
[07-18-2016 15:56:11.180] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(217) - Will parse the user input to determine what to execute
[07-18-2016 15:56:11.196] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.Expression.<init>(16) - Parsed and created an Expression
[07-18-2016 15:56:11.196] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionConstant.<init>(19) - Parsed and created an ExpressionConstant
[07-18-2016 15:56:11.196] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionLiteral.<init>(22) - Parsed and created an ExpressionConstant
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.Expression.<init>(16) - Parsed and created an Expression
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionConstant.<init>(19) - Parsed and created an ExpressionConstant
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionLiteral.<init>(22) - Parsed and created an ExpressionConstant
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.Expression.<init>(16) - Parsed and created an Expression
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionBinary.<init>(25) - Parsed and created an ExpressionBinary
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.Expression.<init>(16) - Parsed and created an Expression
[07-18-2016 15:56:11.197] [main] INFO  com.mijecu25.sqlplus.compiler.core.expression.ExpressionBinary.<init>(25) - Parsed and created an ExpressionBinary
[07-18-2016 15:56:11.198] [main] INFO  com.mijecu25.sqlplus.compiler.core.statement.Statement.<init>(42) - Created a Statement
